20 20
8.711153287379306+3.4892962109743895i 7.68043865352749+3.2019582300648053i 2.945889080715042+6.449446779914624i 6.267186494822866-1.7979350507568026i 2.114471737858783-3.7352058206439063i 6.9829674696301485+5.81564731296092i 6.26477112854575-2.4098585581045704i 9.998372669667734-9.603812030101627i 7.8921212890596015-3.2772989585725543i 3.133994784167-7.128530627197295i 3.7551749662296663+4.402892346179815i 5.3714783342972305-9.359701545126365i 6.508826959753032-9.326435011238871i 6.212908195479587+1.8046909543622192i 1.1439326741465794-9.576713630609316i 7.9347982662959105-2.0064133950126415i 4.111042823965195-7.214433562388077i 7.609230790283767-1.067388889335259i 7.435786190084802+8.609951191448404i 2.657884258747203-8.28033428405769i 
5.546868167780264-3.1362381286695684i 4.599238675812746+4.130367558697011i 8.655981780453814+9.244223791826412i 3.4352486082907276-6.3000825284118i 0.11480187458371316-7.688874957443307i 0.9106427930602878+2.50870081427792i 8.122131160660901-6.237970077730183i 7.571840927283925+7.7642489825128855i 9.704036410459025-6.295556404356884i 1.879559580154212+2.46542418130674i 8.063916701468269-4.27039042031395i 6.801165107456841-0.8222648956687539i 8.577646458187045+6.385351685704967i 2.0873251157299233-0.9321578735355451i 0.5675321641000897+7.199956853093401i 8.418343738888991+1.4699961515982762i 9.842917684991818-9.236917366195144i 1.105686303666742-9.938785946713692i 4.896185672846735-0.46455803303269816i 3.026280454466781+6.035659604540316i 
3.394307926950618-4.823587008829374i 1.5700936238163+0.11966389572306002i 9.175832757848445+2.7627959587231024i 1.9765093450963989+2.1964203778918012i 3.5795341661205904-2.2326903242544205i 9.541059312459526+1.608776257563237i 1.4650771482296343-7.472398596864062i 5.776822061919418+3.644141139465027i 6.3346875708486285+3.4715793842507137i 2.707921700853182-9.626931018318183i 3.359613640510987+4.567538193147358i 0.13101817011874517-6.549027734171581i 6.397949843960808+0.1949776545393156i 9.049167970412032+6.4899274840456425i 6.8057436680897325-5.648683997023313i 4.624097074730936+3.307455252791679i 6.312611740847216+7.3527266296660665i 0.10633055617922604-3.4733707882279443i 5.78660149014337-0.684383046903585i 8.777086413126552-8.56636567744507i 
3.1690142385851825-4.504783578127782i 5.978179203967343+6.9593722630824395i 1.3523250531553477-7.303160282683261i 4.8339645852913495+3.458896667653332i 3.843422858349923-9.903693245941321i 6.8285927343844+8.220992440005558i 4.226246445297093-6.115988905211438i 7.429449616853293-9.538158229530895i 9.332585388246251+8.007236979884635i 0.36140646779942-4.886378839785131i 0.34928187817564016-7.277105637850783i 8.597776867172684+3.638384945145331i 7.649943666987825+2.240306279369121i 9.991298740712462+2.0368568829517555i 3.421332705798684+0.01626225032988593i 6.452169203937118-7.311407202380393i 8.668581044388203+9.241291508895129i 1.8802197636412332+9.658681254544504i 5.240184944847421+3.4429157641585615i 6.481949615214868-9.474057852748818i 
3.8236083313200995+1.9516601094820485i 4.569048849877594+1.0699529393169693i 0.6848812000048976+0.8077922752500999i 2.6248950860866516+2.2576105043839814i 6.310731921104521+8.466462549064374i 5.475438786356749-9.421821152822941i 4.082851149703831+2.416330710931658i 8.078402245611938+7.978697798478931i 0.4573325546297746-4.067996617856079i 8.318728472453426+9.522198999284821i 7.760486712834726-3.359612791271039i 2.8725531479562507+8.763710467932448i 1.4479211999756214-1.1058022891975738i 2.7452124349632303+3.3028069767606514i 0.4088555344903333-9.530680798466861i 1.355682389326629-0.17302318811943995i 2.2389448127924982-6.935822803971094i 6.642034970503497-5.154596158843237i 1.8846329044647747+9.427989122832557i 0.40924853038769804+0.6113355919171348i 
4.0115090587330435-3.8434565869656954i 6.331837192287937+9.156968203945672i 4.877089671510813-4.944792709433265i 1.0406722832156856-0.20606240619659766i 0.12878302891282334-7.384112800647413i 4.925619869365266+2.643390435779015i 0.9524083811563067-3.6664454728692872i 7.283509816417495-5.92334867548024i 3.5630621581294806+4.796785693088229i 3.3769225737032595+8.45696231209962i 5.565176831534596-9.640965286071498i 7.503347069956008-5.1135501232349i 0.9423128101740308+2.7783390966963992i 7.431420274599944+3.1874251275643575i 1.2134453423721125+2.677257878107869i 2.3608178910137365-2.4836748030845044i 6.575417457318865-1.9271723333862467i 0.8137608599048562-7.335469689171729i 0.7991977363579872+6.0166907658675495i 9.072139455045944+7.13847032960169i 
0.41839733523290623+2.334460136991272i 6.155451789115362-0.06669945237238073i 1.0127895198170267-3.8051596217394046i 4.140704548866482+7.175827203770137i 0.3410293386748142+3.160281560796583i 9.767717499290523-0.49819154478443983i 3.0413159361403896-7.783559625489077i 2.4750383419938284-1.1335906075526825i 1.1761106958278167+6.402888440526855i 0.23154051477548343+6.463470968889036i 0.7418025355744928-3.6650206082605994i 3.479520689878731+4.037510580872241i 7.845063609114497-7.555677037979953i 8.64990494437515+2.7413414546238446i 3.536538791729762+2.959054822694122i 8.18162915471369+2.9740195796298363i 3.847755778601308-0.33285260345244816i 6.427175172754383-3.781070445815823i 7.377084560265591-3.7487742023390256i 2.2763122371931264-3.9931268628948224i 
8.10671612600842+9.29733903688335i 4.656361605813212+1.1379014249141373i 5.163986183601521-1.8717080681898879i 9.813861022382838+1.1285370962368568i 5.623006592062144-8.990455189087585i 4.06186005032378+5.931927821121912i 1.7608026394036025+1.8728837780520136i 0.4780629084607624+5.702968754116089i 0.7207521910047576+5.270770742553591i 1.3244068642646112+9.599489358860378i 5.24467975995522-9.297352502695835i 9.498406658030685+2.5716389666947084i 5.4488701212164905-9.029118487717168i 3.2740578956567745+7.615131289787687i 8.113692795870897+3.7061574780548714i 5.371897214993244+1.1573318644886865i 1.6222771199293406+2.549018742435145i 5.549798916798046+6.47576563059655i 0.9270110749674643-6.103976954854009i 4.05105492216777-6.063943639378911i 
9.202419161943276+8.599007415974743i 3.9710120492626597+2.4651744802385824i 8.172401960039611-8.158730463920177i 4.055659521486867+1.6457369708665037i 9.451260021455349+4.229075339669944i 1.032772878861118-5.120883184039412i 7.202680664887213+1.104947292609012i 0.21365505171122234-0.48681930004672247i 1.2880191233222738-8.332400173049194i 4.016437663511936-0.12737079546985552i 6.805719869229076-4.016559067600218i 2.2146177248867707-9.545901644318942i 8.309359980886972-0.7417714203057102i 6.497990210696642+6.936561899413274i 1.6000449123689209+8.205131264887772i 0.8067141602246863+3.3877803061434353i 1.3080371801845259-3.1548756103569i 9.24428205908699-9.801746292333611i 1.9896469449382903-2.8717728807497602i 9.880863882171417+9.004056677967661i 
3.1801019936965744+9.002405751557184i 6.222888082520023+6.293949273494652i 0.15844930206689867+7.371722608126479i 7.615822467022253-5.176411792856541i 5.715781112120258+1.7475691181771602i 4.7324499592211335-1.5960458152635082i 9.609131236008619-5.127762140651823i 7.713318453904875+4.017652267215558i 8.824485138539528-3.5760046925124067i 7.410861599457313+6.941507545190037i 6.406262541840135+0.4713335444045652i 1.0976576480667932+7.506289961350464i 4.681693011023343+9.323651204782395i 6.428596606298866+6.139820264313211i 2.704701752802844+1.6488802271513403i 5.510063954317146+5.683457822687014i 1.5676034135620065-2.400235706623514i 3.760172677500566-0.02373973270745733i 8.746971362136623-4.587182620354251i 1.5714072773345011+0.2865539174764842i 
3.7885749244785494+9.782559094240924i 4.690793613459727+7.335385298179386i 5.4951096262844965+3.4781645932106064i 8.151072578148629+1.4385064760134936i 6.057888332209781-4.540651543300514i 7.206431612603499+4.665654940973515i 1.9018334749046795+6.064976185883038i 1.4540145059225973-0.48750333623728714i 8.618899941844624+5.268413007335799i 6.589078074996634-2.8577761006339477i 4.782488434566798-5.962492869029404i 2.9682108744214695-7.998292376463061i 5.809090823468993+8.947070926152179i 0.2559438477371023-3.220442773434684i 4.8642286896911315-8.23334433733421i 3.302737587816278+7.437790592178136i 7.807022543582754+4.684437765001396i 1.9095916915339939-2.064646721761404i 5.184427816507129+1.6031043389111033i 6.6507376263954034+6.386078934014181i 
7.126137412799194+1.23655104939695i 9.579177319981946+4.732907692298864i 1.1899879488405318+4.50445970909641i 3.946090889744166+3.6564789522199725i 6.701367679898123+7.803094117888042i 8.711230281300992-1.3383917388165756i 0.037747704398991555-7.990436898703354i 9.218341340870086+1.94913429198603i 0.8695128352344184-0.14754197495846721i 7.598050937892108+1.938796582830834i 7.379618844044803-6.382730852138112i 0.8143113665426116+7.4214489321624955i 9.416446190881611+8.262025259877067i 8.005416006239171+2.556595263816516i 6.781652979888034+3.2857409095252854i 7.3300845921988795-4.572155201099111i 5.4288350219860515-6.491456535587878i 2.6777017027244012-9.200221689352219i 1.6024923575595729-2.7942300281826693i 2.7230746132665704-3.246328086228343i 
1.751807823513335-6.94880507468142i 3.6628168134636008-1.3732437656343766i 4.153336512633153-1.8779495678200808i 9.246457599726945+4.425104750393998i 7.254804021788075-5.172029514078021i 0.222841546501219+1.1699694346790412i 8.06968812256428-3.0967800276279123i 3.81925943122007+9.221330497333216i 1.214809542688745+7.052872598948476i 2.9965349610047918-8.29196210738511i 8.616990277563497+7.072802912950279i 9.123068105931743+6.522129577392162i 2.339722676088062-5.14948055955474i 6.480765264277572-4.682554667838822i 1.981344071708886-1.1403872799435777i 6.165144715328533-5.769090814893987i 3.2063411564681243-3.4009220111979066i 5.629493052663549+7.123866145804504i 9.097573603382726-5.96222940780498i 8.988323916499368-3.12018770209592i 
3.1403049550989692+3.095633836739026i 4.167525268981793-9.387467157970674i 6.15599069150354-1.8199815841257305i 3.5174908607715705+8.774783665471887i 4.31341963258901+1.592413611382919i 3.2244465510288043+2.346447250335882i 2.3035817348007193+3.97551927887265i 2.743792253439538-6.550462813295094i 0.6024952627118352+3.9177927236670227i 4.16074520863221-5.970123773295307i 3.19349674693549-4.697177931643566i 6.250546156371463+1.2705199734038075i 4.5998217806641275-6.914754898999722i 0.438256850063532+9.116237570575892i 5.698443680808017-3.0298235477467514i 7.824746656148709-6.452596122626023i 0.17655076982469375-5.323302096239859i 0.44199202876297417-4.448632244570042i 6.3298857614733395-1.465053209303968i 5.077087888858923+1.8872173065910192i 
0.7957005246212179+9.04310179081026i 8.0577607715407+7.236829546012943i 1.518072162427071-7.6760412326955905i 6.769743652550865-4.571224000229018i 4.001640061959371+4.15337904711407i 6.223582867926046-8.989535280197426i 8.011433067961859-5.289684009995125i 9.23919373958885+5.132840928943823i 1.359386284980706+6.117606519135742i 2.6827776575440208-3.245153763768671i 3.1324775507782086+8.177164329829328i 2.871897084242707+7.276253912535223i 8.792739179330791-9.33392473445575i 7.75915523408165+9.953295636698144i 7.647085974022748-0.38446962511439753i 3.17050932704676+8.214121143818549i 2.519347793299309+0.9413455055847375i 3.5424931863893505-2.9527443544301137i 4.512251983765042+8.059670767253289i 1.320846299606614+0.782776672330755i 
0.37861310011008675+9.972679119591648i 8.714283675126964-8.460349909409421i 8.992392674652573-9.558019604979865i 4.274365217125786-1.5895473573069896i 1.6015451261288638+2.755035971204011i 6.064670205274346-0.26505229594382396i 4.586113273959863-6.344567806712035i 9.793242148874802+6.67345259612532i 1.318192186235413-7.3762147431134215i 2.162874538033911+3.661145252454552i 3.174769607016942-5.923656646677036i 3.4171648808198296+5.724652113944374i 0.20718301657664195-0.32005308196948357i 3.6628317454274084+6.90069369110856i 0.8635952092586219-1.3932072467645895i 0.31090614646888226-5.765673954977569i 7.563664935891756-6.566910440477823i 9.277030736500132-8.098644691576741i 5.489070504085921+2.4683506508602204i 9.00404998648058-4.616293993549805i 
5.1281258349872125-5.879139374320673i 3.8647706608938392+1.743848106903172i 0.8473600929170078+4.094006295477178i 7.35964123865948-6.617750057711628i 3.7421251708409886-6.249181788097939i 3.5925250866651215+2.0693713215358764i 2.7740682006670503+9.751162603325678i 5.083926484208876+7.560851591442064i 9.272014412088991+4.964600358614712i 2.3764394234518207+7.986849923604938i 5.472497874219532-2.9697254538586435i 5.748004465026461-1.032823162918176i 4.293628761764676-6.105894153057139i 7.358976076048064+3.7191334043979376i 3.4245970946069084+7.636046573409033i 3.8235108788166072-4.361953027276599i 8.316379934329166-3.9866580673127308i 8.958481139944531-0.9563457225765004i 6.085568604632518-2.7009692861796966i 5.4841781252366015+2.7961675644933512i 
9.432029925510223+6.800012221227515i 1.923276004809451-7.752154452015074i 3.9007431804717143-1.6611201253064145i 2.895134918417747+5.706553608660153i 1.3208200660661185+6.060035583127608i 2.0883572278639195+9.565215742157848i 5.314035405396479-0.5400948514794923i 0.060405500965937664-7.570984311354524i 0.6859806106524691-1.1131946324656328i 7.346769638051885+2.0874109272200183i 3.9646148192767807+8.40628032725265i 8.840627157969944+9.783892058698203i 5.098570259475026+5.6147306131694386i 5.289245345205949-9.693788527164298i 2.577125588274607-2.13072107982194i 8.958284073937062+1.3797541773625044i 0.630993737504213-4.272170362521734i 7.521137479375576+8.563555233741315i 7.806862557385483-7.04331044280857i 8.303665828550189+8.380049308525177i 
2.7835639830668555+3.9873288101810243i 6.727565751966088+8.47770361516815i 6.952048180603553-9.351556723263567i 4.924537548331115-2.412663911327707i 5.3394904365025075-7.695384082177687i 5.924891684524656+0.8738813802247147i 9.719259285015537+6.1373844437792915i 0.16557571032024154-0.6515390194452153i 6.726345277865914-1.4020964563781124i 5.214214275533538-4.466107872843236i 3.634885229762598-7.969273104572726i 1.615718276304654+6.031576512364244i 6.0542574375554805+3.136530959811925i 3.8518425425506795-0.30537107570727806i 1.026292548072435+5.716142381260514i 3.0746197368224926-0.5645679859682728i 4.611959692293998+5.526485067801577i 0.09027183271521744-9.912695891318995i 5.3233693512683855-2.113667846609948i 7.571613617192016+5.777466501095723i 
8.631768718208736+3.5082467583756163i 7.444849046234083-7.560931889877043i 9.607862025520934+4.632281029118613i 4.626417575734929-4.582295625067038i 5.515218216680305+3.123568506754677i 9.636168730658977+8.073436038687387i 6.499145094671993+5.879378912524709i 8.15096792112002+3.9411972171923457i 5.4053301208511755+2.538357538166829i 2.182622542090409+6.961520051519061i 4.526813481926601+2.317859019133678i 0.5331941313901445-9.590639283865274i 9.493491415126549-9.224328078755203i 2.6139827366809-0.3086498766382273i 6.800005458734909-9.711925499392205i 8.049449708359113+3.821966849478425i 4.284027727808937+7.842733753505549i 3.5942966172745363+7.654918627931998i 6.019184990859107-2.163294003196503i 4.512148811410986-7.2738621554937115i 
