20 20
101.40437649329525-39.97818036658528i 90.4068370486375-34.18762224048794i 76.30505189992175+30.9924423386853i 38.605345018945236-65.1549410568582i -11.918987944656688-48.41036042491874i 105.35377563663783-6.548475451875511i 33.70615556746323-70.30471113961i 7.888102598095983-160.84084358483437i 40.53668456152532-90.60678645555267i -30.361430835775298-85.2029073824191i 66.82432281378459+7.252499473280327i -29.249841590567854-121.8891727155539i -19.377224270762497-130.67609679350574i 66.87011439105474-34.29016002446254i -66.6908861744879-90.0166417737074i 51.02978969613886-80.21164642084563i -22.793023933369398-93.71842162310926i 55.76638297974685-69.68383112879981i 131.45743734368418+13.445245289613226i -43.56640226353921-91.13643199539162i 
105.87696025444774-49.99840946619874i 94.4968841799857-43.01654671593518i 83.9747174386129+27.84308581227749i 36.7890531706488-72.55952655863291i -16.187433935787897-51.05061240460735i 112.46615109603347-14.44377319040155i 31.174745515880865-77.73425514851667i -2.8796570104518224-172.9595530391308i 37.06558473245569-99.97720611486945i -38.548557970461516-89.18848578096507i 72.1394108385031+3.0646125238418733i -39.94242447112349-128.59045574855446i -29.979301927568493-138.70481668667483i 69.26088513259299-41.467767542578024i -77.82896584738758-91.78805614671931i 49.04560715258988-89.57423540699843i -31.03616818129406-98.84954213793972i 54.864633168176255-78.62337647187337i 141.85540452485034+5.1477055288327875i -53.120981646647095-94.61798480582159i 
63.37322511743081-75.63901474626117i 57.12922249958477-66.27861471357748i 74.09208654303193-8.337718255245466i 2.5381366938194-68.51458647054078i -30.409715051206852-33.352655521284866i 80.96730989750087-50.75646887294289i -3.5850905445835615-70.49263875477911i -63.2624458321009-131.34313555100132i -6.929322699112529-89.59397200980345i -60.98543552905798-54.644200264696366i 56.28757452515195-23.121653436007442i -75.96192390156251-84.30504257161104i -71.90810959882006-95.56241315883182i 38.36377571444322-56.18449470347684i -91.9630269060997-42.76665965835211i 5.9110481188989965-85.86217966357344i -58.64705173862137-64.6895074649207i 14.23004740604982-79.53613304284094i 110.3740958817122-46.13890577590978i -74.05392646894074-53.65479573338621i 
83.25730085864032-1.6574367228375664i 73.84086473454083-0.4357736321042722i 46.403491310223+42.49326898137679i 44.979460298524685-36.39303940858962i 4.341232838787025-37.84063881173299i 77.19336280774883+23.33454093173106i 42.84064891717187-41.384358967965454i 48.43332151733884-113.0914943597619i 53.1328889428846-54.107203668722036i 0.9201797259089091-69.0961778454901i 45.928542487790715+22.969481989951284i 11.47491076953711-95.0741776988558i 20.882749984982127-98.74098715935403i 57.01179224408279-6.770037579086582i -23.817502503861515-82.20737015375254i 57.882625546470315-43.87129959754866i 8.605611644124949-73.18153705326002i 58.4744160983746-35.071624260193516i 90.5696996110914+44.59713072789001i -6.958521549726672-76.85816018941638i 
65.72727459525879-19.34791368782618i 58.517485780937236-16.33874563319346i 46.03661720846408+23.679110104817752i 27.820664199970878-38.62920112083806i -4.749832703579424-30.976603575360663i 66.32686292631092+1.8030591344340898i 25.041916449881185-42.127871974099314i 13.950440079919062-100.25736326701946i 30.4558957555246-54.45589534560122i -14.234815677432664-55.04502634159719i 41.43105681523711+8.284790908675095i -11.48335353947575-77.95130316021728i -4.809971375678877-82.89946675086384i 43.78734566070532-17.721696290865044i -36.710270879494146-60.09433777707233i 36.44298944183337-47.35977516615274i -9.019261929041974-59.95236954574279i 38.818609031161806-40.50312478249386i 81.5496182490222+15.783318041445732i -22.169738858504857-59.49976054409738i 
47.18522140866137-7.304900660530874i 41.927593320131905-5.891013988697294i 29.616904722659758+20.60083066297481i 22.778698054184737-24.118363676350558i -0.4250641536755868-21.835150712282307i 45.64936399200522+7.360514445036905i 21.18182668701609-26.791275538837795i 18.879617687098158-67.9670848456345i 26.0581479087554-34.80777180243071i -4.757859666926018-39.335002326267414i 27.85487981856535+9.542518740215622i -0.7454168517112087-54.90395007222134i 4.3204525677105465-57.70666150702267i 31.88018044350041-8.204347391684312i -19.817363800785945-44.89497569967508i 29.53953070921109-29.35410932622444i -0.7027556622488333-42.24392220066142i 30.548348543803137-24.398823658843483i 54.875637204341416+18.420915758113782i -9.828239091607356-43.14369603964335i 
34.272552006729384+81.915042977637i 29.37071011160814+73.05572681978084i -23.95399092610041+62.67071449660821i 53.717898990655655+30.342637583228218i 39.2271529295979-10.524800278689247i 7.112023513960601+85.69602371185037i 57.82948109227144+26.26550086680196i 131.13180599988652+3.7092982752276242i 74.4800461494873+31.485970193353666i 68.88191987505213-26.16657447302113i -4.778776470716171+54.54825860802249i 98.7802285328471-25.88055209990201i 106.1035040033174-17.988025022449875i 29.05688486894445+53.88424617006871i 72.18921971780638-55.83677345359196i 66.19074766570637+40.2076851352022i 75.94524370448781-20.146155757800585i 57.696211003051516+44.243183748076035i -8.73141577701346+107.29397250521728i 73.49162454939922-37.02168019984448i 
18.65644177467627+78.98925670624062i 15.560977862160449+70.26766794443847i -30.970449391602607+52.93012000321131i 43.901913052186785+35.39262176174892i 36.94576240477821-3.6252154838971986i -6.400209834165267+78.33760937472196i 48.219042782486625+32.330932132070046i 117.69016696611061+22.95163513198547i 62.452701564207594+39.527955824777635i 66.02495993839706-13.295798705930633i -12.465213573409965+48.47298545228033i 92.94223581912195-8.567480640762206i 98.36572069659475-0.35561590827812495i 18.144519800776486+52.93334793380842i 73.44353135362462-39.555640096632395i 53.67396315706625+46.15312266393603i 71.4939582512327-6.81092829131757i 45.410840983133355+48.52192542618987i -23.915961838203685+95.4440961905483i 71.8047031600664-22.394870652192328i 
37.279795671042905-10.666847371670118i 33.186668863565416-8.99488662823158i 25.951396659324246+13.598497811693294i 15.910452749044918-21.741559281089742i -2.5548592886624037-17.550810002200926i 37.52817901099207+1.3055633529953354i 14.352936464633366-23.73348649607968i 8.325934717869426-56.678019724083356i 17.469838508374185-30.686927580359374i -7.819152904850448-31.212476657138517i 23.41118903093526+4.866689200598417i -6.163551133128518-44.163847471131405i -2.3656528243560366-46.93543763744744i 24.85648218047137-9.84086259187356i -20.516832121978926-34.166633071947274i 20.827566097112953-26.645325049215156i -4.8464494782176715-33.967233484163856i 22.1425051732646-22.754771499826962i 46.08298657722706+9.282770220528075i -12.29055953906351-33.76763137815339i 
31.77420421491052-73.41841262042729i 29.084302226313575-64.7020740473667i 55.65072712629078-23.594847378160978i -13.854817761004297-53.8288399856436i -31.335938649449904-18.893477548582155i 51.1945119043025-58.14656467825305i -19.07010228349777-53.95148478015863i -79.50198589503432-87.45250273987959i -26.08139640625962-68.02255068049868i -60.01470535908955-28.375947242365648i 38.39972437698853-30.970479850322548i -78.50469461655129-47.96567501007064i -77.95499191563887-57.650200790303195i 16.833509304592035-52.5230498970372i -81.34354739715737-11.989967404015808i -15.241113616833477-68.0887710921708i -60.5180670835453-36.722308853145655i -7.315092468821913-65.09454434910812i 75.11313285133457-61.35137603999024i -69.94164065019008-24.58819939670837i 
26.333072342366105+45.92292922880763i 22.778061568419517+41.04464962586033i -9.534930782974715+38.84535044705481i 34.02172945969977+13.976394674273559i 22.426851847336827-9.127452550379443i 10.545583480289952+50.16850277191766i 36.15242689053983+11.260407436621621i 77.84697954095454-7.504687959230843i 46.388396939148464+13.117105785705585i 38.812572101477514-20.573906448818676i 1.2076369564176108+32.622145937784346i 56.52043820090702-22.61609029808153i 61.436370565181264-18.48882435285382i 21.174424375310892+29.726736924232302i 38.574533756815384-38.37029576343514i 42.129849499798034+18.88964876306864i 43.43625917893853-17.534882211208732i 37.40328188637408+21.905183179348796i 2.7706629404617047+64.11687045682238i 40.736617657295454-27.336327210861118i 
